Term,Definition
Poverty line,"Minimum welfare level necessary to be considered not poor in a particular country or context. National poverty lines are usually calculated as the minimum resources necessary to achieve an adequate calorie intake (food poverty line or extreme poverty line) plus the minimum non-food resources to cater for basic necessities. Alongside national poverty lines, the World Bank elaborated a set of international poverty lines, expressed in purchasing power parity US dollars to allow for international comparisons. These correspond to $1.90, $3.20, and $5.50 per day."
Poverty rate,"Share of individuals whose welfare level (consumption) is below the poverty line. Also referred to as ""headcount ratio""."
Public spending,Government expenditure (see functional expenses).
Quintile ratio,"A measure of inequality in the welfare distribution. It corresponds to the ratio of the average income of the richest 20% of the population to the average income of the poorest 20%. It assumes positive values, usually over 1, indicating that the richest 20% owns more resources than the poorest 20%."
Real annual growth rate,The inflation-adjusted rate at which the value of goods and services produced by a country grows from year to year.
Recipient household,Household in which at least one member receives benefits from the scheme considered.
Skipped generation household,Household with at least one child (below 18) and one older person (aged 60 and over) but no working age adults (18-59).
Social protection,"According to the ILO, social protection (or social security) is understood as a collection of policies and measures that reduce income insecurities and prevent vulnerabilities across the lifecycle. A social protection system should ensure that all individuals during the course of life, at the very least, have an adequate standard of living. Social protection schemes should reduce and prevent poverty and vulnerability, as well as provide a buffer against contingencies across the lifecycle and environmental shocks. Typically social protection programmes include child or family benefits, disability benefits, unemployment benefits, and old age pensions"
Tax rate,"Percentage at which an individual or a business is taxed. Within the tool, taxes to individuals are referred to as ""income taxes"" and taxes to businesses are referred to as ""corporate taxes""."
Tax revenue,Money received by a government from taxes.
Three generation household,"Household with at least one child (below 18), one working age adult (18-59) and one older person (aged 60 or over)."
Welfare,"Household welfare or living standards can be captured in terms of income, consumption expenditure, or self-reported measures. Except for the Pilippines (for which income is used), the tool uses household consumption expenditure as the welfare measure on which the simulations are based."
Welfare deciles,"Household are ranked from poorest to richest based on consumption expenditure and divided into ten equally sized groups, each containing 10% of the households. The bottom decile corresponds to the poorest 10% of the households while the top decile corresponds to the richest 10%."
